account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_info,merchant_state,merchant_category_code,transaction_number
20759,02012021 17:28:14,172.14,2022021,101,PRESTON ROAD PHA 6901 P,DALLAS,New Mexico,5912,13
37632,01222021 18:56:38,42.16,1232021,45495,ALDI,HOUSTON,Maryland,5411,1
24029,04072021 07:23:46,11.14,4082021,76596,CIRCLE K,MCKINNEY,California,5541,17
24029,04072021 07:18:39,31.3,4082021,76596,CIRCLE K,MCKINNEY,California,5542,16
24124,04022021 14:50:25,92.73,4042021,89448,MARKET BASKET,ROWLEY,Wyoming,5411,1
37466,01172021 13:08:42,5.98,1182021,96553,SHELL SERVICE STATION,HOUSTON,Ohio,5541,22
36717,02102021 12:48:50,137.83,2112021,98783,H-E-B,PEARLAND,Illinois,5411,5
38829,12302020 12:00:44,1.86,12312020,100418,CHEVRON/HANDI PLUS,HOUSTON,Ohio,5542,169
53222,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,ASHLAND,Ohio,5542,13
44891,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,BRIDGEPORT,New Jersey,5542,13
43991,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,BRIGHTON,Michigan,5542,10
53111,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,HAMILTON,Ohio,5542,10
38829,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,HOUSTON,Ohio,5542,164
11111,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,HOUSTON,Texas,5542,10
22222,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,LOS ANGELES,California,5542,13
33555,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,LOS ANGELES,California,5542,13
54722,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,SAN JOSE,California,5542,10
54891,12292020 12:53:59,3.5,12302020,100418,CHEVRON/HANDI PLUS,SIOUX FALLS,California,5542,13
26669,04022021 12:01:47,4,4032021,100418,CHEVRON/MAC'S CORNER,GRAPEVINE,Ohio,5541,9
27348,04062021 11:01:53,7,4072021,100418,CHEVRON/SUPER STOP GROC,COLUMBUS,New Mexico,5541,3
31094,12272020 17:24:42,7.11,12282020,100418,CHEVRON/QUICK STUFF #44,PEARLAND,New Jersey,5542,139
32307,04072021 06:28:40,4.78,4092021,112134,ROBINWOOD ONE S,SAUCIER,California,5541,6
37466,12302020 08:42:35,26.97,1012021,135810,ICE BOX,HOUSTON,Ohio,5542,174
37466,12302020 08:41:46,3.24,1012021,135810,ICE BOX,HOUSTON,Ohio,5541,173
37466,12312020 07:33:59,3.24,1022021,135810,ICE BOX,HOUSTON,Ohio,5541,177
30808,03232021 10:27:49,36.5,3252021,219703,BA Withdrawal Manhana,SANTA FE,Rhode Island,6011,4
23312,04092021 12:14:58,11.97,4102021,221918,ALDI,MIDDLEBURG,Ohio,5411,3
26669,03312021 13:13:44,22.75,4022021,224205,Lucky 13,DALLAS,Ohio,6011,7
26995,04012021 14:51:03,3.23,4032021,240105,WAL-MART,CORINTH,New York,5411,11
26995,04012021 10:00:06,3.34,4032021,240105,WAL-MART,CORINTH,New York,5411,9
18393,01302021 13:16:28,2.04,2012021,240768,WAL-MART,KATY,Alaska,5411,9
18393,12282020 20:55:35,20.28,12302020,241409,WAL-MART,HOUSTON,Alaska,5310,23
18393,03272021 13:21:32,3.76,3292021,241409,WAL-MART,HOUSTON,Alaska,5310,18
31092,04082021 19:54:51,13.16,4102021,244484,WAL-MART,RALEIGH,Illinois,5411,1
18393,01032021 10:09:17,15.81,1052021,244712,SAMSCLUB,HOUSTON,Alaska,5542,4
26607,01242021 16:07:55,56.98,1262021,245644,WAL-MART,IRVINE,Michigan,5411,16
26669,04102021 14:39:26,12,4112021,257469,SHELL OIL,GRAPEVINE,Ohio,5541,16
26669,03302021 16:44:22,2.26,3312021,257469,SHELL OIL,GRAPEVINE,Ohio,5541,5
26669,03302021 13:02:38,7.46,3312021,257469,SHELL OIL,GRAPEVINE,Ohio,5541,3
37226,01242021 12:19:32,4.54,1252021,277435,SHELL OIL,SCOTTSDALE,New York,5541,29
39184,03292021 16:57:35,21.05,3302021,287395,FOOD DEPOT #42,AUSTELL,California,5411,4
26522,12182020 15:29:12,1.06,12192020,326552,MAVERIK,DRAPER,Louisiana,5541,3
26522,12222020 12:01:07,1.23,12242020,326552,MAVERIK,DRAPER,Louisiana,5541,4
22824,01262021 13:24:23,3.04,1282021,342925,FIESTA MART #39,HOUSTON,Arizona,5411,1
20669,02142021 11:42:01,35.69,2152021,350099,FOODTOWN 208,DEER PARK,Louisiana,5411,5
20759,02052021 10:50:46,52.26,2072021,355152,7-ELEVEN 22788,DALLAS,New Mexico,5542,21
19862,03272021 09:38:01,47.14,3292021,395473,SAYHAN INCORPOR,LYNN,California,5542,1
26995,04092021 08:35:04,2.13,4102021,407527,SHELL OIL,WEST POINT,New York,5541,17
33717,03122021 16:32:55,8.2,3132021,407965,SHELL OIL,TOLEDO,California,5541,67
17504,03202021 10:43:17,30.25,3222021,420304,SUNOCO,DELAWARE WATE,California,5542,2
17504,03202021 10:42:22,4.94,3222021,420304,SUNOCO,DELAWARE WATE,California,5541,1
17032,03272021 10:50:10,18.53,3292021,430128,QUICK CHEK FOOD,PISCATAWAY,Minnesota,5499,3
32922,02142021 12:26:00,141.46,2152021,432998,SPROUTS FARMERS MARKET,SCOTTSDALE,New Jersey,5411,6
